ID,Surname,Name,Birthday,Dormitory,Course
1,Weasley,Ginny,11.08.1981,Gryffindor,2
2,Potter,Harry,31.07.1980,Gryffindor,3
3,Weasley,Ron,01.03.1980,Gryffindor,3
4,Granger,Hermione,19.09.1979,Gryffindor,3
5,Longbottom,Neville ,31.07.1980,Gryffindor,3
6,Weasley,Frad,01.04.1978,Gryffindor,5
7,Weasley,George,01.04.1978,Gryffindor,5
8,Patil,Padma,04.05.1980,Ravenclaw,3
9,Boot,Terry,09.12.1979,Ravenclaw,3
10,Lovegood,Luna,13.02.1981,Ravenclaw,2
11,Corner,Michael,15.08.1979,Ravenclaw,4
12,Chang,Cho,13.03.1979,Ravenclaw,4
13,Belby,Marcus,21.06.1978,Ravenclaw,5
14,Abbott,Hannah,14.03.1979,Hufflepuff,4
15,Bones,Susan,02.02.1980,Hufflepuff,3
16,Diggory,Cedric,20.12.1977,Hufflepuff,5
17,Smith,Zacharias,29.09.1979,Hufflepuff,4
18,Finch-Fletchley,Justin,03.06.1980,Hufflepuff,3
19,Bulstrode,Millicent,01.08.1980,Slytherin,3
20,Goyle,Gregory,31.10.1979,Slytherin,3
21,Zabini,Blaise,16.02.1979,Slytherin,4
22,Crabbe,Vincent,15.09.1979,Slytherin,3
23,Malfoy,Draco,05.06.1980,Slytherin,3
24,Flint,Marcus,27.04.1976,Slytherin,7
25,Parkinson,Pansy,13.05.1981,Slytherin,2
26,Patil,Parvati,04.05.2009,Gryffindor,3
27,Watson,Kate,06.09.2006,Ravenclaw,6
